MODL,NCHR,REPL,MTHD,DOLLO
Palaeognathae,10000,Rep10,dollo-cdp-fast,12447
Palaeognathae,10000,Rep10,paup-dollo-bnb-first,12447
Palaeognathae,10000,Rep10,paup-dollo-fast-hsearch-first,12447
Palaeognathae,10000,Rep10,paup-dollo-hsearch-first,12447
Palaeognathae,10000,Rep11,dollo-cdp-fast,12587
Palaeognathae,10000,Rep11,paup-dollo-bnb-first,12587
Palaeognathae,10000,Rep11,paup-dollo-fast-hsearch-first,12587
Palaeognathae,10000,Rep11,paup-dollo-hsearch-first,12587
Palaeognathae,10000,Rep12,dollo-cdp-fast,12589
Palaeognathae,10000,Rep12,paup-dollo-bnb-first,12589
Palaeognathae,10000,Rep12,paup-dollo-fast-hsearch-first,12589
Palaeognathae,10000,Rep12,paup-dollo-hsearch-first,12589
Palaeognathae,10000,Rep13,dollo-cdp-fast,12585
Palaeognathae,10000,Rep13,paup-dollo-bnb-first,12585
Palaeognathae,10000,Rep13,paup-dollo-fast-hsearch-first,12585
Palaeognathae,10000,Rep13,paup-dollo-hsearch-first,12585
Palaeognathae,10000,Rep14,dollo-cdp-fast,12425
Palaeognathae,10000,Rep14,paup-dollo-bnb-first,12425
Palaeognathae,10000,Rep14,paup-dollo-fast-hsearch-first,12425
Palaeognathae,10000,Rep14,paup-dollo-hsearch-first,12425
Palaeognathae,10000,Rep15,dollo-cdp-fast,12492
Palaeognathae,10000,Rep15,paup-dollo-bnb-first,12492
Palaeognathae,10000,Rep15,paup-dollo-fast-hsearch-first,12492
Palaeognathae,10000,Rep15,paup-dollo-hsearch-first,12492
Palaeognathae,10000,Rep16,dollo-cdp-fast,12464
Palaeognathae,10000,Rep16,paup-dollo-bnb-first,12464
Palaeognathae,10000,Rep16,paup-dollo-fast-hsearch-first,12464
Palaeognathae,10000,Rep16,paup-dollo-hsearch-first,12464
Palaeognathae,10000,Rep17,dollo-cdp-fast,12617
Palaeognathae,10000,Rep17,paup-dollo-bnb-first,12617
Palaeognathae,10000,Rep17,paup-dollo-fast-hsearch-first,12617
Palaeognathae,10000,Rep17,paup-dollo-hsearch-first,12617
Palaeognathae,10000,Rep18,dollo-cdp-fast,12386
Palaeognathae,10000,Rep18,paup-dollo-bnb-first,12386
Palaeognathae,10000,Rep18,paup-dollo-fast-hsearch-first,12386
Palaeognathae,10000,Rep18,paup-dollo-hsearch-first,12386
Palaeognathae,10000,Rep19,dollo-cdp-fast,12508
Palaeognathae,10000,Rep19,paup-dollo-bnb-first,12508
Palaeognathae,10000,Rep19,paup-dollo-fast-hsearch-first,12508
Palaeognathae,10000,Rep19,paup-dollo-hsearch-first,12508
Palaeognathae,10000,Rep1,dollo-cdp-fast,12488
Palaeognathae,10000,Rep1,paup-dollo-bnb-first,12488
Palaeognathae,10000,Rep1,paup-dollo-fast-hsearch-first,12488
Palaeognathae,10000,Rep1,paup-dollo-hsearch-first,12488
Palaeognathae,10000,Rep20,dollo-cdp-fast,12535
Palaeognathae,10000,Rep20,paup-dollo-bnb-first,12535
Palaeognathae,10000,Rep20,paup-dollo-fast-hsearch-first,12535
Palaeognathae,10000,Rep20,paup-dollo-hsearch-first,12535
Palaeognathae,10000,Rep21,dollo-cdp-fast,12532
Palaeognathae,10000,Rep21,paup-dollo-bnb-first,12532
Palaeognathae,10000,Rep21,paup-dollo-fast-hsearch-first,12532
Palaeognathae,10000,Rep21,paup-dollo-hsearch-first,12532
Palaeognathae,10000,Rep22,dollo-cdp-fast,12472
Palaeognathae,10000,Rep22,paup-dollo-bnb-first,12472
Palaeognathae,10000,Rep22,paup-dollo-fast-hsearch-first,12472
Palaeognathae,10000,Rep22,paup-dollo-hsearch-first,12472
Palaeognathae,10000,Rep23,dollo-cdp-fast,12548
Palaeognathae,10000,Rep23,paup-dollo-bnb-first,12548
Palaeognathae,10000,Rep23,paup-dollo-fast-hsearch-first,12548
Palaeognathae,10000,Rep23,paup-dollo-hsearch-first,12548
Palaeognathae,10000,Rep24,dollo-cdp-fast,12456
Palaeognathae,10000,Rep24,paup-dollo-bnb-first,12456
Palaeognathae,10000,Rep24,paup-dollo-fast-hsearch-first,12456
Palaeognathae,10000,Rep24,paup-dollo-hsearch-first,12456
Palaeognathae,10000,Rep25,dollo-cdp-fast,12475
Palaeognathae,10000,Rep25,paup-dollo-bnb-first,12475
Palaeognathae,10000,Rep25,paup-dollo-fast-hsearch-first,12475
Palaeognathae,10000,Rep25,paup-dollo-hsearch-first,12475
Palaeognathae,10000,Rep2,dollo-cdp-fast,12570
Palaeognathae,10000,Rep2,paup-dollo-bnb-first,12570
Palaeognathae,10000,Rep2,paup-dollo-fast-hsearch-first,12570
Palaeognathae,10000,Rep2,paup-dollo-hsearch-first,12570
Palaeognathae,10000,Rep3,dollo-cdp-fast,12554
Palaeognathae,10000,Rep3,paup-dollo-bnb-first,12554
Palaeognathae,10000,Rep3,paup-dollo-fast-hsearch-first,12554
Palaeognathae,10000,Rep3,paup-dollo-hsearch-first,12554
Palaeognathae,10000,Rep4,dollo-cdp-fast,12503
Palaeognathae,10000,Rep4,paup-dollo-bnb-first,12503
Palaeognathae,10000,Rep4,paup-dollo-fast-hsearch-first,12503
Palaeognathae,10000,Rep4,paup-dollo-hsearch-first,12503
Palaeognathae,10000,Rep5,dollo-cdp-fast,12544
Palaeognathae,10000,Rep5,paup-dollo-bnb-first,12544
Palaeognathae,10000,Rep5,paup-dollo-fast-hsearch-first,12544
Palaeognathae,10000,Rep5,paup-dollo-hsearch-first,12544
Palaeognathae,10000,Rep6,dollo-cdp-fast,12401
Palaeognathae,10000,Rep6,paup-dollo-bnb-first,12401
Palaeognathae,10000,Rep6,paup-dollo-fast-hsearch-first,12401
Palaeognathae,10000,Rep6,paup-dollo-hsearch-first,12401
Palaeognathae,10000,Rep7,dollo-cdp-fast,12443
Palaeognathae,10000,Rep7,paup-dollo-bnb-first,12443
Palaeognathae,10000,Rep7,paup-dollo-fast-hsearch-first,12443
Palaeognathae,10000,Rep7,paup-dollo-hsearch-first,12443
Palaeognathae,10000,Rep8,dollo-cdp-fast,12476
Palaeognathae,10000,Rep8,paup-dollo-bnb-first,12476
Palaeognathae,10000,Rep8,paup-dollo-fast-hsearch-first,12476
Palaeognathae,10000,Rep8,paup-dollo-hsearch-first,12476
Palaeognathae,10000,Rep9,dollo-cdp-fast,12479
Palaeognathae,10000,Rep9,paup-dollo-bnb-first,12479
Palaeognathae,10000,Rep9,paup-dollo-fast-hsearch-first,12479
Palaeognathae,10000,Rep9,paup-dollo-hsearch-first,12479
Palaeognathae,1000,Rep10,dollo-cdp-fast,1204
Palaeognathae,1000,Rep10,paup-dollo-bnb-first,1204
Palaeognathae,1000,Rep10,paup-dollo-fast-hsearch-first,1204
Palaeognathae,1000,Rep10,paup-dollo-hsearch-first,1204
Palaeognathae,1000,Rep11,dollo-cdp-fast,1239
Palaeognathae,1000,Rep11,paup-dollo-bnb-first,1239
Palaeognathae,1000,Rep11,paup-dollo-fast-hsearch-first,1239
Palaeognathae,1000,Rep11,paup-dollo-hsearch-first,1239
Palaeognathae,1000,Rep12,dollo-cdp-fast,1271
Palaeognathae,1000,Rep12,paup-dollo-bnb-first,1271
Palaeognathae,1000,Rep12,paup-dollo-fast-hsearch-first,1271
Palaeognathae,1000,Rep12,paup-dollo-hsearch-first,1271
Palaeognathae,1000,Rep13,dollo-cdp-fast,1278
Palaeognathae,1000,Rep13,paup-dollo-bnb-first,1278
Palaeognathae,1000,Rep13,paup-dollo-fast-hsearch-first,1278
Palaeognathae,1000,Rep13,paup-dollo-hsearch-first,1278
Palaeognathae,1000,Rep14,dollo-cdp-fast,1230
Palaeognathae,1000,Rep14,paup-dollo-bnb-first,1230
Palaeognathae,1000,Rep14,paup-dollo-fast-hsearch-first,1230
Palaeognathae,1000,Rep14,paup-dollo-hsearch-first,1230
Palaeognathae,1000,Rep15,dollo-cdp-fast,1213
Palaeognathae,1000,Rep15,paup-dollo-bnb-first,1213
Palaeognathae,1000,Rep15,paup-dollo-fast-hsearch-first,1213
Palaeognathae,1000,Rep15,paup-dollo-hsearch-first,1213
Palaeognathae,1000,Rep16,dollo-cdp-fast,1249
Palaeognathae,1000,Rep16,paup-dollo-bnb-first,1249
Palaeognathae,1000,Rep16,paup-dollo-fast-hsearch-first,1249
Palaeognathae,1000,Rep16,paup-dollo-hsearch-first,1249
Palaeognathae,1000,Rep17,dollo-cdp-fast,1259
Palaeognathae,1000,Rep17,paup-dollo-bnb-first,1259
Palaeognathae,1000,Rep17,paup-dollo-fast-hsearch-first,1259
Palaeognathae,1000,Rep17,paup-dollo-hsearch-first,1259
Palaeognathae,1000,Rep18,dollo-cdp-fast,1234
Palaeognathae,1000,Rep18,paup-dollo-bnb-first,1234
Palaeognathae,1000,Rep18,paup-dollo-fast-hsearch-first,1234
Palaeognathae,1000,Rep18,paup-dollo-hsearch-first,1234
Palaeognathae,1000,Rep19,dollo-cdp-fast,1282
Palaeognathae,1000,Rep19,paup-dollo-bnb-first,1282
Palaeognathae,1000,Rep19,paup-dollo-fast-hsearch-first,1282
Palaeognathae,1000,Rep19,paup-dollo-hsearch-first,1282
Palaeognathae,1000,Rep1,dollo-cdp-fast,1252
Palaeognathae,1000,Rep1,paup-dollo-bnb-first,1252
Palaeognathae,1000,Rep1,paup-dollo-fast-hsearch-first,1252
Palaeognathae,1000,Rep1,paup-dollo-hsearch-first,1252
Palaeognathae,1000,Rep20,dollo-cdp-fast,1228
Palaeognathae,1000,Rep20,paup-dollo-bnb-first,1228
Palaeognathae,1000,Rep20,paup-dollo-fast-hsearch-first,1228
Palaeognathae,1000,Rep20,paup-dollo-hsearch-first,1228
Palaeognathae,1000,Rep21,dollo-cdp-fast,1248
Palaeognathae,1000,Rep21,paup-dollo-bnb-first,1248
Palaeognathae,1000,Rep21,paup-dollo-fast-hsearch-first,1248
Palaeognathae,1000,Rep21,paup-dollo-hsearch-first,1248
Palaeognathae,1000,Rep22,dollo-cdp-fast,1217
Palaeognathae,1000,Rep22,paup-dollo-bnb-first,1217
Palaeognathae,1000,Rep22,paup-dollo-fast-hsearch-first,1217
Palaeognathae,1000,Rep22,paup-dollo-hsearch-first,1217
Palaeognathae,1000,Rep23,dollo-cdp-fast,1281
Palaeognathae,1000,Rep23,paup-dollo-bnb-first,1281
Palaeognathae,1000,Rep23,paup-dollo-fast-hsearch-first,1281
Palaeognathae,1000,Rep23,paup-dollo-hsearch-first,1281
Palaeognathae,1000,Rep24,dollo-cdp-fast,1231
Palaeognathae,1000,Rep24,paup-dollo-bnb-first,1231
Palaeognathae,1000,Rep24,paup-dollo-fast-hsearch-first,1231
Palaeognathae,1000,Rep24,paup-dollo-hsearch-first,1231
Palaeognathae,1000,Rep25,dollo-cdp-fast,1251
Palaeognathae,1000,Rep25,paup-dollo-bnb-first,1251
Palaeognathae,1000,Rep25,paup-dollo-fast-hsearch-first,1251
Palaeognathae,1000,Rep25,paup-dollo-hsearch-first,1251
Palaeognathae,1000,Rep2,dollo-cdp-fast,1262
Palaeognathae,1000,Rep2,paup-dollo-bnb-first,1262
Palaeognathae,1000,Rep2,paup-dollo-fast-hsearch-first,1262
Palaeognathae,1000,Rep2,paup-dollo-hsearch-first,1262
Palaeognathae,1000,Rep3,dollo-cdp-fast,1256
Palaeognathae,1000,Rep3,paup-dollo-bnb-first,1256
Palaeognathae,1000,Rep3,paup-dollo-fast-hsearch-first,1256
Palaeognathae,1000,Rep3,paup-dollo-hsearch-first,1256
Palaeognathae,1000,Rep4,dollo-cdp-fast,1241
Palaeognathae,1000,Rep4,paup-dollo-bnb-first,1241
Palaeognathae,1000,Rep4,paup-dollo-fast-hsearch-first,1241
Palaeognathae,1000,Rep4,paup-dollo-hsearch-first,1241
Palaeognathae,1000,Rep5,dollo-cdp-fast,1258
Palaeognathae,1000,Rep5,paup-dollo-bnb-first,1258
Palaeognathae,1000,Rep5,paup-dollo-fast-hsearch-first,1258
Palaeognathae,1000,Rep5,paup-dollo-hsearch-first,1258
Palaeognathae,1000,Rep6,dollo-cdp-fast,1224
Palaeognathae,1000,Rep6,paup-dollo-bnb-first,1224
Palaeognathae,1000,Rep6,paup-dollo-fast-hsearch-first,1224
Palaeognathae,1000,Rep6,paup-dollo-hsearch-first,1224
Palaeognathae,1000,Rep7,dollo-cdp-fast,1235
Palaeognathae,1000,Rep7,paup-dollo-bnb-first,1235
Palaeognathae,1000,Rep7,paup-dollo-fast-hsearch-first,1235
Palaeognathae,1000,Rep7,paup-dollo-hsearch-first,1235
Palaeognathae,1000,Rep8,dollo-cdp-fast,1287
Palaeognathae,1000,Rep8,paup-dollo-bnb-first,1287
Palaeognathae,1000,Rep8,paup-dollo-fast-hsearch-first,1287
Palaeognathae,1000,Rep8,paup-dollo-hsearch-first,1287
Palaeognathae,1000,Rep9,dollo-cdp-fast,1239
Palaeognathae,1000,Rep9,paup-dollo-bnb-first,1239
Palaeognathae,1000,Rep9,paup-dollo-fast-hsearch-first,1239
Palaeognathae,1000,Rep9,paup-dollo-hsearch-first,1239
Palaeognathae,50000,Rep10,dollo-cdp-fast,62315
Palaeognathae,50000,Rep10,paup-dollo-bnb-first,62315
Palaeognathae,50000,Rep10,paup-dollo-fast-hsearch-first,62315
Palaeognathae,50000,Rep10,paup-dollo-hsearch-first,62315
Palaeognathae,50000,Rep11,dollo-cdp-fast,62485
Palaeognathae,50000,Rep11,paup-dollo-bnb-first,62485
Palaeognathae,50000,Rep11,paup-dollo-fast-hsearch-first,62485
Palaeognathae,50000,Rep11,paup-dollo-hsearch-first,62485
Palaeognathae,50000,Rep12,dollo-cdp-fast,62366
Palaeognathae,50000,Rep12,paup-dollo-bnb-first,62366
Palaeognathae,50000,Rep12,paup-dollo-fast-hsearch-first,62366
Palaeognathae,50000,Rep12,paup-dollo-hsearch-first,62366
Palaeognathae,50000,Rep13,dollo-cdp-fast,62457
Palaeognathae,50000,Rep13,paup-dollo-bnb-first,62457
Palaeognathae,50000,Rep13,paup-dollo-fast-hsearch-first,62457
Palaeognathae,50000,Rep13,paup-dollo-hsearch-first,62457
Palaeognathae,50000,Rep14,dollo-cdp-fast,62173
Palaeognathae,50000,Rep14,paup-dollo-bnb-first,62173
Palaeognathae,50000,Rep14,paup-dollo-fast-hsearch-first,62173
Palaeognathae,50000,Rep14,paup-dollo-hsearch-first,62173
Palaeognathae,50000,Rep15,dollo-cdp-fast,62527
Palaeognathae,50000,Rep15,paup-dollo-bnb-first,62527
Palaeognathae,50000,Rep15,paup-dollo-fast-hsearch-first,62527
Palaeognathae,50000,Rep15,paup-dollo-hsearch-first,62527
Palaeognathae,50000,Rep16,dollo-cdp-fast,62359
Palaeognathae,50000,Rep16,paup-dollo-bnb-first,62359
Palaeognathae,50000,Rep16,paup-dollo-fast-hsearch-first,62359
Palaeognathae,50000,Rep16,paup-dollo-hsearch-first,62359
Palaeognathae,50000,Rep17,dollo-cdp-fast,62380
Palaeognathae,50000,Rep17,paup-dollo-bnb-first,62380
Palaeognathae,50000,Rep17,paup-dollo-fast-hsearch-first,62380
Palaeognathae,50000,Rep17,paup-dollo-hsearch-first,62380
Palaeognathae,50000,Rep18,dollo-cdp-fast,62369
Palaeognathae,50000,Rep18,paup-dollo-bnb-first,62369
Palaeognathae,50000,Rep18,paup-dollo-fast-hsearch-first,62369
Palaeognathae,50000,Rep18,paup-dollo-hsearch-first,62369
Palaeognathae,50000,Rep19,dollo-cdp-fast,62419
Palaeognathae,50000,Rep19,paup-dollo-bnb-first,62419
Palaeognathae,50000,Rep19,paup-dollo-fast-hsearch-first,62419
Palaeognathae,50000,Rep19,paup-dollo-hsearch-first,62419
Palaeognathae,50000,Rep1,dollo-cdp-fast,62584
Palaeognathae,50000,Rep1,paup-dollo-bnb-first,62584
Palaeognathae,50000,Rep1,paup-dollo-fast-hsearch-first,62584
Palaeognathae,50000,Rep1,paup-dollo-hsearch-first,62584
Palaeognathae,50000,Rep20,dollo-cdp-fast,62625
Palaeognathae,50000,Rep20,paup-dollo-bnb-first,62625
