MODL,NCHR,REPL,MTHD,NODE,real,user,sys
Palaeognathae,1000,Rep25,paup-dollo-bnb,cbcb21,0m0.286s,0m0.010s,0m0.006s
Palaeognathae,1000,Rep25,paup-dollo-fast-hsearch,cbcb21,0m0.245s,0m0.016s,0m0.006s
Palaeognathae,1000,Rep25,paup-dollo-hsearch,cbcb17,0m0.833s,0m0.072s,0m0.005s
Palaeognathae,1000,Rep2,dollo-cdp-fast,cbcb15,0m0.615s,0m0.032s,0m0.002s
Palaeognathae,1000,Rep2,paup-dollo-bnb,cbcb15,0m0.739s,0m0.012s,0m0.004s
Palaeognathae,1000,Rep2,paup-dollo-fast-hsearch,cbcb15,0m0.273s,0m0.018s,0m0.004s
Palaeognathae,1000,Rep2,paup-dollo-hsearch,cbcb15,0m0.297s,0m0.056s,0m0.008s
Palaeognathae,1000,Rep3,dollo-cdp-fast,cbcb15,0m0.380s,0m0.029s,0m0.006s
Palaeognathae,1000,Rep3,paup-dollo-bnb,cbcb15,0m0.278s,0m0.011s,0m0.006s
Palaeognathae,1000,Rep3,paup-dollo-fast-hsearch,cbcb15,0m0.792s,0m0.017s,0m0.005s
Palaeognathae,1000,Rep3,paup-dollo-hsearch,cbcb15,0m0.224s,0m0.024s,0m0.002s
Palaeognathae,1000,Rep4,dollo-cdp-fast,cbcb15,0m0.560s,0m0.035s,0m0.003s
Palaeognathae,1000,Rep4,paup-dollo-bnb,cbcb15,0m0.283s,0m0.011s,0m0.005s
Palaeognathae,1000,Rep4,paup-dollo-fast-hsearch,cbcb15,0m0.296s,0m0.016s,0m0.006s
Palaeognathae,1000,Rep4,paup-dollo-hsearch,cbcb15,0m0.411s,0m0.050s,0m0.004s
Palaeognathae,1000,Rep5,dollo-cdp-fast,cbcb15,0m0.389s,0m0.034s,0m0.000s
Palaeognathae,1000,Rep5,paup-dollo-bnb,cbcb15,0m0.735s,0m0.011s,0m0.004s
Palaeognathae,1000,Rep5,paup-dollo-fast-hsearch,cbcb15,0m0.777s,0m0.017s,0m0.007s
Palaeognathae,1000,Rep5,paup-dollo-hsearch,cbcb15,0m0.419s,0m0.037s,0m0.003s
Palaeognathae,1000,Rep6,dollo-cdp-fast,cbcb15,0m0.644s,0m0.032s,0m0.001s
Palaeognathae,1000,Rep6,paup-dollo-bnb,cbcb15,0m0.305s,0m0.010s,0m0.004s
Palaeognathae,1000,Rep6,paup-dollo-fast-hsearch,cbcb15,0m0.267s,0m0.017s,0m0.004s
Palaeognathae,1000,Rep6,paup-dollo-hsearch,cbcb15,0m0.313s,0m0.022s,0m0.003s
Palaeognathae,1000,Rep7,dollo-cdp-fast,cbcb15,0m0.386s,0m0.033s,0m0.001s
Palaeognathae,1000,Rep7,paup-dollo-bnb,cbcb15,0m0.301s,0m0.011s,0m0.002s
Palaeognathae,1000,Rep7,paup-dollo-fast-hsearch,cbcb15,0m0.775s,0m0.014s,0m0.007s
Palaeognathae,1000,Rep7,paup-dollo-hsearch,cbcb15,0m0.372s,0m0.043s,0m0.004s
Palaeognathae,1000,Rep8,dollo-cdp-fast,cbcb15,0m0.524s,0m0.031s,0m0.001s
Palaeognathae,1000,Rep8,paup-dollo-bnb,cbcb15,0m0.292s,0m0.011s,0m0.002s
Palaeognathae,1000,Rep8,paup-dollo-fast-hsearch,cbcb15,0m0.229s,0m0.019s,0m0.004s
Palaeognathae,1000,Rep8,paup-dollo-hsearch,cbcb15,0m0.410s,0m0.054s,0m0.003s
Palaeognathae,1000,Rep9,dollo-cdp-fast,cbcb15,0m0.641s,0m0.033s,0m0.001s
Palaeognathae,1000,Rep9,paup-dollo-bnb,cbcb15,0m0.299s,0m0.014s,0m0.002s
Palaeognathae,1000,Rep9,paup-dollo-fast-hsearch,cbcb15,0m0.275s,0m0.019s,0m0.003s
Palaeognathae,1000,Rep9,paup-dollo-hsearch,cbcb15,0m0.421s,0m0.054s,0m0.008s
Palaeognathae,50000,Rep10,dollo-cdp-fast,cbcb19,0m2.102s,0m1.572s,0m0.017s
Palaeognathae,50000,Rep10,paup-dollo-bnb,cbcb20,0m0.805s,0m0.083s,0m0.006s
Palaeognathae,50000,Rep10,paup-dollo-fast-hsearch,cbcb19,0m0.914s,0m0.098s,0m0.008s
Palaeognathae,50000,Rep10,paup-dollo-hsearch,cbcb15,0m0.607s,0m0.209s,0m0.007s
Palaeognathae,50000,Rep11,dollo-cdp-fast,cbcb19,0m2.100s,0m1.579s,0m0.011s
Palaeognathae,50000,Rep11,paup-dollo-bnb,cbcb15,0m0.841s,0m0.090s,0m0.007s
Palaeognathae,50000,Rep11,paup-dollo-fast-hsearch,cbcb19,0m0.909s,0m0.108s,0m0.004s
Palaeognathae,50000,Rep11,paup-dollo-hsearch,cbcb15,0m0.730s,0m0.415s,0m0.008s
Palaeognathae,50000,Rep12,dollo-cdp-fast,cbcb19,0m2.094s,0m1.576s,0m0.015s
Palaeognathae,50000,Rep12,paup-dollo-bnb,cbcb15,0m0.828s,0m0.084s,0m0.008s
Palaeognathae,50000,Rep12,paup-dollo-fast-hsearch,cbcb19,0m0.916s,0m0.100s,0m0.008s
Palaeognathae,50000,Rep12,paup-dollo-hsearch,cbcb15,0m0.898s,0m0.171s,0m0.006s
Palaeognathae,50000,Rep13,dollo-cdp-fast,cbcb19,0m2.081s,0m1.569s,0m0.015s
Palaeognathae,50000,Rep13,paup-dollo-bnb,cbcb18,0m0.822s,0m0.090s,0m0.004s
Palaeognathae,50000,Rep13,paup-dollo-fast-hsearch,cbcb19,0m0.907s,0m0.107s,0m0.004s
Palaeognathae,50000,Rep13,paup-dollo-hsearch,cbcb15,0m1.060s,0m0.334s,0m0.002s
Palaeognathae,50000,Rep14,dollo-cdp-fast,cbcb19,0m2.153s,0m1.575s,0m0.022s
Palaeognathae,50000,Rep14,paup-dollo-bnb,cbcb18,0m0.812s,0m0.083s,0m0.005s
Palaeognathae,50000,Rep14,paup-dollo-fast-hsearch,cbcb19,0m0.852s,0m0.104s,0m0.006s
Palaeognathae,50000,Rep14,paup-dollo-hsearch,cbcb15,0m0.340s,0m0.160s,0m0.007s
Palaeognathae,50000,Rep15,dollo-cdp-fast,cbcb19,0m2.102s,0m1.572s,0m0.019s
Palaeognathae,50000,Rep15,paup-dollo-bnb,cbcb18,0m0.820s,0m0.086s,0m0.005s
Palaeognathae,50000,Rep15,paup-dollo-fast-hsearch,cbcb19,0m0.912s,0m0.104s,0m0.004s
Palaeognathae,50000,Rep15,paup-dollo-hsearch,cbcb18,0m0.894s,0m0.136s,0m0.004s
Palaeognathae,50000,Rep16,dollo-cdp-fast,cbcb19,0m1.952s,0m1.576s,0m0.015s
Palaeognathae,50000,Rep16,paup-dollo-bnb,cbcb18,0m0.818s,0m0.086s,0m0.005s
Palaeognathae,50000,Rep16,paup-dollo-fast-hsearch,cbcb19,0m0.282s,0m0.108s,0m0.003s
Palaeognathae,50000,Rep16,paup-dollo-hsearch,cbcb18,0m0.955s,0m0.188s,0m0.005s
Palaeognathae,50000,Rep17,dollo-cdp-fast,cbcb19,0m2.081s,0m1.575s,0m0.014s
Palaeognathae,50000,Rep17,paup-dollo-bnb,cbcb18,0m0.817s,0m0.084s,0m0.006s
Palaeognathae,50000,Rep17,paup-dollo-fast-hsearch,cbcb19,0m0.906s,0m0.104s,0m0.004s
Palaeognathae,50000,Rep17,paup-dollo-hsearch,cbcb18,0m0.977s,0m0.257s,0m0.003s
Palaeognathae,50000,Rep18,dollo-cdp-fast,cbcb19,0m2.061s,0m1.562s,0m0.021s
Palaeognathae,50000,Rep18,paup-dollo-bnb,cbcb18,0m0.832s,0m0.086s,0m0.007s
Palaeognathae,50000,Rep18,paup-dollo-fast-hsearch,cbcb19,0m0.912s,0m0.108s,0m0.004s
Palaeognathae,50000,Rep18,paup-dollo-hsearch,cbcb18,0m1.120s,0m0.397s,0m0.007s
Palaeognathae,50000,Rep19,dollo-cdp-fast,cbcb20,0m1.945s,0m1.559s,0m0.019s
Palaeognathae,50000,Rep19,paup-dollo-bnb,cbcb18,0m0.832s,0m0.083s,0m0.008s
Palaeognathae,50000,Rep19,paup-dollo-fast-hsearch,cbcb20,0m0.861s,0m0.105s,0m0.004s
Palaeognathae,50000,Rep19,paup-dollo-hsearch,cbcb18,0m1.068s,0m0.329s,0m0.006s
Palaeognathae,50000,Rep1,dollo-cdp-fast,cbcb16,0m1.927s,0m1.572s,0m0.012s
Palaeognathae,50000,Rep1,paup-dollo-bnb,cbcb19,0m0.276s,0m0.088s,0m0.006s
Palaeognathae,50000,Rep1,paup-dollo-fast-hsearch,cbcb16,0m0.286s,0m0.101s,0m0.008s
Palaeognathae,50000,Rep1,paup-dollo-hsearch,cbcb20,0m0.604s,0m0.422s,0m0.003s
Palaeognathae,50000,Rep20,dollo-cdp-fast,cbcb20,0m1.939s,0m1.564s,0m0.017s
Palaeognathae,50000,Rep20,paup-dollo-bnb,cbcb18,0m0.815s,0m0.089s,0m0.007s
Palaeognathae,50000,Rep20,paup-dollo-fast-hsearch,cbcb20,0m0.861s,0m0.107s,0m0.005s
Palaeognathae,50000,Rep20,paup-dollo-hsearch,cbcb18,0m1.176s,0m0.421s,0m0.002s
Palaeognathae,50000,Rep21,dollo-cdp-fast,cbcb20,0m1.966s,0m1.582s,0m0.011s
Palaeognathae,50000,Rep21,paup-dollo-bnb,cbcb18,0m0.845s,0m0.087s,0m0.005s
Palaeognathae,50000,Rep21,paup-dollo-fast-hsearch,cbcb20,0m0.859s,0m0.101s,0m0.007s
Palaeognathae,50000,Rep21,paup-dollo-hsearch,cbcb18,0m0.917s,0m0.178s,0m0.006s
Palaeognathae,50000,Rep22,dollo-cdp-fast,cbcb20,0m1.970s,0m1.581s,0m0.013s
Palaeognathae,50000,Rep22,paup-dollo-bnb,cbcb18,0m0.841s,0m0.087s,0m0.004s
Palaeognathae,50000,Rep22,paup-dollo-fast-hsearch,cbcb20,0m0.857s,0m0.104s,0m0.005s
Palaeognathae,50000,Rep22,paup-dollo-hsearch,cbcb18,0m0.893s,0m0.133s,0m0.006s
Palaeognathae,50000,Rep23,dollo-cdp-fast,cbcb20,0m1.999s,0m1.570s,0m0.032s
Palaeognathae,50000,Rep23,paup-dollo-bnb,cbcb18,0m0.831s,0m0.086s,0m0.006s
Palaeognathae,50000,Rep23,paup-dollo-fast-hsearch,cbcb20,0m0.852s,0m0.100s,0m0.009s
Palaeognathae,50000,Rep23,paup-dollo-hsearch,cbcb18,0m0.306s,0m0.124s,0m0.005s
Palaeognathae,50000,Rep24,dollo-cdp-fast,cbcb20,0m1.961s,0m1.576s,0m0.017s
Palaeognathae,50000,Rep24,paup-dollo-bnb,cbcb18,0m0.827s,0m0.081s,0m0.006s
Palaeognathae,50000,Rep24,paup-dollo-fast-hsearch,cbcb20,0m0.842s,0m0.102s,0m0.010s
Palaeognathae,50000,Rep24,paup-dollo-hsearch,cbcb18,0m0.935s,0m0.172s,0m0.004s
Palaeognathae,50000,Rep25,dollo-cdp-fast,cbcb20,0m1.922s,0m1.581s,0m0.014s
Palaeognathae,50000,Rep25,paup-dollo-bnb,cbcb18,0m0.835s,0m0.085s,0m0.006s
Palaeognathae,50000,Rep25,paup-dollo-fast-hsearch,cbcb20,0m0.833s,0m0.104s,0m0.004s
Palaeognathae,50000,Rep25,paup-dollo-hsearch,cbcb18,0m0.980s,0m0.217s,0m0.002s
Palaeognathae,50000,Rep2,dollo-cdp-fast,cbcb19,0m2.046s,0m1.605s,0m0.031s
Palaeognathae,50000,Rep2,paup-dollo-bnb,cbcb19,0m0.880s,0m0.086s,0m0.008s
Palaeognathae,50000,Rep2,paup-dollo-fast-hsearch,cbcb19,0m0.895s,0m0.100s,0m0.011s
Palaeognathae,50000,Rep2,paup-dollo-hsearch,cbcb20,0m0.331s,0m0.150s,0m0.003s
Palaeognathae,50000,Rep3,dollo-cdp-fast,cbcb19,0m2.095s,0m1.567s,0m0.023s
Palaeognathae,50000,Rep3,paup-dollo-bnb,cbcb19,0m0.874s,0m0.087s,0m0.007s
Palaeognathae,50000,Rep3,paup-dollo-fast-hsearch,cbcb19,0m0.880s,0m0.102s,0m0.009s
Palaeognathae,50000,Rep3,paup-dollo-hsearch,cbcb20,0m0.315s,0m0.131s,0m0.005s
Palaeognathae,50000,Rep4,dollo-cdp-fast,cbcb19,0m2.004s,0m1.569s,0m0.027s
Palaeognathae,50000,Rep4,paup-dollo-bnb,cbcb19,0m0.272s,0m0.084s,0m0.009s
Palaeognathae,50000,Rep4,paup-dollo-fast-hsearch,cbcb19,0m0.849s,0m0.105s,0m0.004s
Palaeognathae,50000,Rep4,paup-dollo-hsearch,cbcb16,0m0.932s,0m0.192s,0m0.007s
Palaeognathae,50000,Rep5,dollo-cdp-fast,cbcb19,0m2.093s,0m1.569s,0m0.015s
Palaeognathae,50000,Rep5,paup-dollo-bnb,cbcb19,0m0.869s,0m0.084s,0m0.005s
Palaeognathae,50000,Rep5,paup-dollo-fast-hsearch,cbcb19,0m0.884s,0m0.100s,0m0.008s
Palaeognathae,50000,Rep5,paup-dollo-hsearch,cbcb16,0m0.878s,0m0.149s,0m0.004s
Palaeognathae,50000,Rep6,dollo-cdp-fast,cbcb19,0m2.191s,0m1.607s,0m0.016s
Palaeognathae,50000,Rep6,paup-dollo-bnb,cbcb19,0m0.866s,0m0.085s,0m0.005s
Palaeognathae,50000,Rep6,paup-dollo-fast-hsearch,cbcb19,0m0.890s,0m0.100s,0m0.007s
Palaeognathae,50000,Rep6,paup-dollo-hsearch,cbcb16,0m0.879s,0m0.152s,0m0.008s
Palaeognathae,50000,Rep7,dollo-cdp-fast,cbcb19,0m2.020s,0m1.580s,0m0.016s
Palaeognathae,50000,Rep7,paup-dollo-bnb,cbcb19,0m0.870s,0m0.082s,0m0.007s
Palaeognathae,50000,Rep7,paup-dollo-fast-hsearch,cbcb19,0m0.889s,0m0.104s,0m0.006s
Palaeognathae,50000,Rep7,paup-dollo-hsearch,cbcb16,0m0.306s,0m0.125s,0m0.004s
Palaeognathae,50000,Rep8,dollo-cdp-fast,cbcb19,0m2.098s,0m1.581s,0m0.013s
Palaeognathae,50000,Rep8,paup-dollo-bnb,cbcb20,0m0.823s,0m0.084s,0m0.003s
Palaeognathae,50000,Rep8,paup-dollo-fast-hsearch,cbcb19,0m0.906s,0m0.102s,0m0.005s
Palaeognathae,50000,Rep8,paup-dollo-hsearch,cbcb15,0m1.006s,0m0.280s,0m0.005s
Palaeognathae,50000,Rep9,dollo-cdp-fast,cbcb19,0m2.136s,0m1.576s,0m0.016s
Palaeognathae,50000,Rep9,paup-dollo-bnb,cbcb20,0m0.809s,0m0.085s,0m0.003s
Palaeognathae,50000,Rep9,paup-dollo-fast-hsearch,cbcb19,0m0.901s,0m0.101s,0m0.007s
Palaeognathae,50000,Rep9,paup-dollo-hsearch,cbcb15,0m0.930s,0m0.200s,0m0.006s
Palaeognathae,5000,Rep10,dollo-cdp-fast,cbcb21,0m0.588s,0m0.159s,0m0.002s
Palaeognathae,5000,Rep10,paup-dollo-bnb,cbcb17,0m0.202s,0m0.019s,0m0.004s
Palaeognathae,5000,Rep10,paup-dollo-fast-hsearch,cbcb21,0m0.266s,0m0.028s,0m0.002s
Palaeognathae,5000,Rep10,paup-dollo-hsearch,cbcb17,0m0.945s,0m0.095s,0m0.007s
Palaeognathae,5000,Rep11,dollo-cdp-fast,cbcb21,0m0.530s,0m0.156s,0m0.004s
Palaeognathae,5000,Rep11,paup-dollo-bnb,cbcb17,0m0.772s,0m0.021s,0m0.003s
Palaeognathae,5000,Rep11,paup-dollo-fast-hsearch,cbcb21,0m0.803s,0m0.027s,0m0.007s
Palaeognathae,5000,Rep11,paup-dollo-hsearch,cbcb17,0m0.818s,0m0.065s,0m0.006s
Palaeognathae,5000,Rep12,dollo-cdp-fast,cbcb21,0m0.650s,0m0.095s,0m0.004s
Palaeognathae,5000,Rep12,paup-dollo-bnb,cbcb17,0m0.792s,0m0.018s,0m0.005s
Palaeognathae,5000,Rep12,paup-dollo-fast-hsearch,cbcb21,0m0.262s,0m0.034s,0m0.003s
Palaeognathae,5000,Rep12,paup-dollo-hsearch,cbcb17,0m0.987s,0m0.060s,0m0.004s
Palaeognathae,5000,Rep13,dollo-cdp-fast,cbcb17,0m0.525s,0m0.158s,0m0.002s
Palaeognathae,5000,Rep13,paup-dollo-bnb,cbcb17,0m0.774s,0m0.018s,0m0.008s
Palaeognathae,5000,Rep13,paup-dollo-fast-hsearch,cbcb17,0m0.215s,0m0.029s,0m0.006s
Palaeognathae,5000,Rep13,paup-dollo-hsearch,cbcb17,0m0.854s,0m0.102s,0m0.008s
Palaeognathae,5000,Rep14,dollo-cdp-fast,cbcb17,0m0.569s,0m0.150s,0m0.003s
Palaeognathae,5000,Rep14,paup-dollo-bnb,cbcb17,0m0.784s,0m0.017s,0m0.006s
Palaeognathae,5000,Rep14,paup-dollo-fast-hsearch,cbcb17,0m0.223s,0m0.025s,0m0.005s
Palaeognathae,5000,Rep14,paup-dollo-hsearch,cbcb17,0m0.994s,0m0.137s,0m0.006s
Palaeognathae,5000,Rep15,dollo-cdp-fast,cbcb17,0m0.576s,0m0.158s,0m0.001s
Palaeognathae,5000,Rep15,paup-dollo-bnb,cbcb17,0m0.234s,0m0.023s,0m0.004s
Palaeognathae,5000,Rep15,paup-dollo-fast-hsearch,cbcb17,0m0.224s,0m0.028s,0m0.003s
Palaeognathae,5000,Rep15,paup-dollo-hsearch,cbcb17,0m0.970s,0m0.052s,0m0.005s
Palaeognathae,5000,Rep16,dollo-cdp-fast,cbcb17,0m0.551s,0m0.157s,0m0.003s
Palaeognathae,5000,Rep16,paup-dollo-bnb,cbcb17,0m0.809s,0m0.020s,0m0.007s
Palaeognathae,5000,Rep16,paup-dollo-fast-hsearch,cbcb17,0m0.219s,0m0.027s,0m0.004s
Palaeognathae,5000,Rep16,paup-dollo-hsearch,cbcb17,0m0.891s,0m0.135s,0m0.004s
Palaeognathae,5000,Rep17,dollo-cdp-fast,cbcb17,0m0.519s,0m0.163s,0m0.003s
Palaeognathae,5000,Rep17,paup-dollo-bnb,cbcb17,0m0.825s,0m0.024s,0m0.011s
Palaeognathae,5000,Rep17,paup-dollo-fast-hsearch,cbcb17,0m0.226s,0m0.031s,0m0.006s
